id,alter,indonesia,arabic
1, Al Fatihah ,Pembuka,ٱلْفَاتِحَة
2, Al Baqarah ,Sapi Betina,ٱلْبَقَرَة
3, Ali Imran ,Keluarga Imran,آلِ عِمْرَان
4, An Nisa ,Wanita, ٱلنِّسَاء
5, Al Ma'idah ,Jamuan,ٱلْمَائِدَة
6, Al An'am ,Hewan Ternak,ٱلْأَنْعَام
7, Al-A'raf ,Tempat yang Tertinggi,ٱلْأَعْرَاف
8, Al-Anfal ,Harta Rampasan Perang,ٱلْأَنْفَال
9, At-Taubah,Pengampunan,ٱلتَّوْبَة
10, Yunus ,Nabi Yunus,يُونُس
11, Hud ,Nabi Hud,هُود
12, Yusuf ,Nabi Yusuf,يُوسُف
13, Ar-Ra'd ,Guruh,ٱلرَّعْد
14, Ibrahim ,Nabi Ibrahim,إِبْرَاهِيم
15, Al-Hijr ,Gunung Al Hijr,ٱلْحِجْر
16, An-Nahl ,Lebah,ٱلنَّحْل
17, Al-Isra' ,Perjalanan Malam,ٱلْإِسْرَاء
18, Al-Kahf ,Penghuni-penghuni Gua,ٱلْكَهْف
19, Maryam ,Maryam,مَرْيَم
20, Ta Ha ,Ta Ha,طه
21, Al-Anbiya ,Nabi-Nabi,ٱلْأَنْبِيَاء
22, Al-Hajj ,Haji,ٱلْحَجّ
23, Al-Mu'minun ,Orang-orang mukmin,ٱلْمُؤْمِنُون
24, An-Nur ,Cahaya,ٱلنُّور
25, Al-Furqan ,Pembeda,ٱلْفُرْقَان
26, Asy-Syu'ara' ,Penyair,ٱلشُّعَرَاء
27, An-Naml ,Semut,ٱلنَّمْل
28, Al-Qasas ,Kisah-kisah,ٱلْقَصَص
29, Al-'Ankabut ,Laba-laba,ٱلْعَنْكَبُوت
30, Ar-Rum ,Bangsa Romawi,ٱلرُّوم
31, Luqman ,Keluarga Luqman,لُقْمَان
32, As-Sajdah ,Sajdah,ٱلسَّجْدَة
33, Al-Ahzab ,Golongan-golongan yang Bersekutu,ٱلْأَحْزَاب
34, Saba' ,Kaum Saba',سَبَأ
35, Fatir ,Pencipta,فَاطِر
36, Ya Sin ,Yaasiin,يس
37, As-Saffat ,Barisan-barisan,ٱلصَّافَّات
38, Sad ,Shaad,ص
39, Az-Zumar ,Rombongan-rombongan,ٱلزُّمَر
40, Ghafir ,Yang Mengampuni,غَافِر
41, Fussilat ,Yang Dijelaskan,فُصِّلَت
42, Asy-Syura ,Musyawarah,ٱلشُّورىٰ
43, Az-Zukhruf ,Perhiasan,ٱلْزُّخْرُف
