id,sura,aya,indonesia,translation,footnotes,arabic
1,1,1,"Dengan nama Allah Yang Maha Pengasih, Maha Penyayang.",,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ
2,1,2,"Segala puji bagi Allah, Tuhan seluruh alam,",,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ
3,1,3,"Yang Maha Pengasih, Maha Penyayang,",,الرَّحْمَٰنِ الرَّحِيمِ
4,1,4,Pemilik hari pembalasan.1),"*1) Yaumiddīn (hari pembalasan), hari waktu manusia menerima pembalasan amalnya, baik atau buruk. Disebut juga yaumul qiyāmah, yaumul hisab dan sebagainya.",مَالِكِ يَوْمِ الدِّينِ
5,1,5,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami mohon pertolongan.,,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ
6,1,6,"Tunjukilah kami jalan yang lurus,2)","*2) Jalan yang lurus, yaitu jalan hidup yang benar, yang dapat membuat bahagia di dunia dan di akhirat.",اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ
7,1,7,"(yaitu) jalan orang-orang yang telah Engkau beri nikmat kepadanya; bukan (jalan) mereka yang dimurkai, dan bukan (pula jalan) mereka yang sesat.3)","*3) Mereka yang dimurkai, adalah mereka yang sengaja menentang ajaran Islam. Mereka yang sesat adalah mereka yang sengaja mengambil jalan lain selain ajaran Islam.",صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ
8,2,1,Alif Lām Mīm.4),"*4) Beberapa surah dalam Al-Qur`an dibuka dengan huruf abjad seperti Alif Lām Mīm, Alif Lām Rā`, dan sebagainya. Makna huruf-huruf itu hanya Allah yang tahu. Ada yang berpendapat bahwa huruf-huruf itu adalah nama surah dan ada pula yang berpendapat bahwa gunanya untuk menarik perhatian, atau untuk mengisyaratkan bahwa Al-Qur`an itu diturunkan dalam bahasa Arab yang tersusun dari huruf-huruf abjad tersebut.",بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم
9,2,2,"Kitab (Al-Qur`an) ini tidak ada keraguan padanya; petunjuk bagi mereka yang bertakwa,5)",*5) Takwa yaitu mengikuti segala perintah Allah dan menjauhi segala larangan-Nya.,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِلْمُتَّقِينَ
10,2,3,"(Yaitu) mereka yang beriman kepada yang gaib, melaksanakan salat, dan menginfakkan6) sebagian rezeki yang Kami berikan kepada mereka,","*6) Pengertian menginfakkan harta di jalan Allah meliputi belanja untuk kepentingan jihad, pembangunan perguruan, rumah sakit, riset ilmiah dan lain-lain.",الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ
11,2,4,"dan mereka beriman kepada (Al-Qur`an) yang diturunkan kepadamu (Muhammad) dan (kitab-kitab) yang telah diturunkan sebelum engkau,7) dan mereka yakin akan adanya akhirat.","*7) Yang diturunkan kepada Nabi-nabi sebelum Nabi Muhammad -ṣallallāhu 'alaihi wa sallam- ialah: Taurat, Zabur, Injil dan Suḥuf (lembaran-lembaran) yang tidak seperti Kitab.",وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ
